"Benjamin Alves","List_of_people_from_Guam"
"Nathaniel Berg","List_of_people_from_Guam"
"Q. Allan Brocka","List_of_people_from_Guam"
"Ann Curry","List_of_people_from_Guam"
"Pia Mia","List_of_people_from_Guam"
"Donovan Patton","List_of_people_from_Guam"
"Morgan Hikaru Aiken","List_of_people_from_Guam"
"Frank Camacho","List_of_people_from_Guam"
"Joe Duarte","List_of_people_from_Guam"
"Christopher Duenas","List_of_people_from_Guam"
"Victoria Muniz","List_of_people_from_Guam"
"Daniel O'Keeffe","List_of_people_from_Guam"
"Sean Reid-Foley","List_of_people_from_Guam"
"Ray Robson","List_of_people_from_Guam"
"Benjamin Schulte","List_of_people_from_Guam"
"Pilar Shimizu","List_of_people_from_Guam"
"Will Stinnett","List_of_people_from_Guam"
"Jon Tuck","List_of_people_from_Guam"
"Eloise Baza","List_of_people_from_Guam"
"Douglas Moylan","List_of_people_from_Guam"
"Peter Gumataotao","List_of_people_from_Guam"
"Curtis W. Howard","List_of_people_from_Guam"
"Susan Pangelinan","List_of_people_from_Guam"
"Vicente T. Blaz","List_of_people_from_Guam"
"Madeleine Bordallo","List_of_people_from_Guam"
"Robert A. Underwood","List_of_people_from_Guam"
"Antonio Borja Won Pat","List_of_people_from_Guam"
"Marcellus Boss","List_of_people_from_Guam"
"William Corbett","List_of_people_from_Guam"
"Bill Daniel","List_of_people_from_Guam"
"Ford Quint Elvidge","List_of_people_from_Guam"
"Joseph Flores","List_of_people_from_Guam"
"Manuel Flores Leon Guerrero","List_of_people_from_Guam"
"Richard Barrett Lowe","List_of_people_from_Guam"
"Carlton Skinner","List_of_people_from_Guam"
"Joseph Franklin Ada","List_of_people_from_Guam"
"Ricardo Bordallo","List_of_people_from_Guam"
"Eddie Calvo","List_of_people_from_Guam"
"Paul McDonald Calvo","List_of_people_from_Guam"
"Carlos Camacho","List_of_people_from_Guam"
"Felix Perez Camacho","List_of_people_from_Guam"
"Carl T.C. Gutierrez","List_of_people_from_Guam"
"Frank Aguon","List_of_people_from_Guam"
"Benjamin Cruz","List_of_people_from_Guam"
"Ping Duenas","List_of_people_from_Guam"
"James Espaldon","List_of_people_from_Guam"
"Alfred Flores","List_of_people_from_Guam"
"Regine Biscoe Lee","List_of_people_from_Guam"
"Ted S. Nelson","List_of_people_from_Guam"
"Telena Cruz Nelson","List_of_people_from_Guam"
"Tony Palomo","List_of_people_from_Guam"
"Ben Pangelinan","List_of_people_from_Guam"
"Michael San Nicolas","List_of_people_from_Guam"
"Nerissa Bretania Underwood","List_of_people_from_Guam"
"Judith Won Pat","List_of_people_from_Guam"
"John A. Cruz","List_of_people_from_Guam"
"Felix Ungacta","List_of_people_from_Guam"
"Bob Beck","List_of_people_from_Guam"
"Lourdes Pangelinan","List_of_people_from_Guam"
"Guam-related lists","List_of_people_from_Guam"
